track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1k6GEdfONk9Fs6JgrC8aBN,0.908,0.342,1,-7.651,1,0.196,0.651,0,0.195,0.505,99.959,audio_features,spotify:track:1k6GEdfONk9Fs6JgrC8aBN,https://api.spotify.com/v1/tracks/1k6GEdfONk9Fs6JgrC8aBN,https://api.spotify.com/v1/audio-analysis/1k6GEdfONk9Fs6JgrC8aBN,132885,4
2kefHjNepGePZG4WxH2Vh4,0.933,0.632,10,-7.484,0,0.416,0.0428,0.00463,0.102,0.534,140.108,audio_features,spotify:track:2kefHjNepGePZG4WxH2Vh4,https://api.spotify.com/v1/tracks/2kefHjNepGePZG4WxH2Vh4,https://api.spotify.com/v1/audio-analysis/2kefHjNepGePZG4WxH2Vh4,99429,4
0c7566F2Aloxllc5ymgwWG,0.545,0.667,4,-12.837,1,0.957,0.83,0,0.782,0.42,77.909,audio_features,spotify:track:0c7566F2Aloxllc5ymgwWG,https://api.spotify.com/v1/tracks/0c7566F2Aloxllc5ymgwWG,https://api.spotify.com/v1/audio-analysis/0c7566F2Aloxllc5ymgwWG,101627,3
0Rn7Zvj1OIN9DsfxtCdYPh,0.338,0.58,2,-8.703,0,0.0573,0.506,0.0000776,0.147,0.262,157.801,audio_features,spotify:track:0Rn7Zvj1OIN9DsfxtCdYPh,https://api.spotify.com/v1/tracks/0Rn7Zvj1OIN9DsfxtCdYPh,https://api.spotify.com/v1/audio-analysis/0Rn7Zvj1OIN9DsfxtCdYPh,209667,4
3w4YszQwxhG5q1iYf4DMpR,0.487,0.461,8,-7.313,0,0.0394,0.906,0,0.103,0.138,79.32,audio_features,spotify:track:3w4YszQwxhG5q1iYf4DMpR,https://api.spotify.com/v1/tracks/3w4YszQwxhG5q1iYf4DMpR,https://api.spotify.com/v1/audio-analysis/3w4YszQwxhG5q1iYf4DMpR,200851,4
1fg0MTdAaXlbn9HWqQAJBQ,0.652,0.781,3,-4.396,0,0.333,0.635,0,0.127,0.628,87.83,audio_features,spotify:track:1fg0MTdAaXlbn9HWqQAJBQ,https://api.spotify.com/v1/tracks/1fg0MTdAaXlbn9HWqQAJBQ,https://api.spotify.com/v1/audio-analysis/1fg0MTdAaXlbn9HWqQAJBQ,118828,4
4zATlrA9Lf9zHGLvEP47Ei,0.766,0.331,3,-9.797,1,0.0401,0.588,0,0.0988,0.57,108.082,audio_features,spotify:track:4zATlrA9Lf9zHGLvEP47Ei,https://api.spotify.com/v1/tracks/4zATlrA9Lf9zHGLvEP47Ei,https://api.spotify.com/v1/audio-analysis/4zATlrA9Lf9zHGLvEP47Ei,199993,4
5RqR4ZCCKJDcBLIn4sih9l,0.728,0.431,6,-9.966,0,0.0622,0.749,0,0.0996,0.629,130.022,audio_features,spotify:track:5RqR4ZCCKJDcBLIn4sih9l,https://api.spotify.com/v1/tracks/5RqR4ZCCKJDcBLIn4sih9l,https://api.spotify.com/v1/audio-analysis/5RqR4ZCCKJDcBLIn4sih9l,147800,4
6y7FocfzyzkGLSHQdJVHhq,0.856,0.352,3,-6.9,1,0.0408,0.816,0,0.0906,0.751,121.776,audio_features,spotify:track:6y7FocfzyzkGLSHQdJVHhq,https://api.spotify.com/v1/tracks/6y7FocfzyzkGLSHQdJVHhq,https://api.spotify.com/v1/audio-analysis/6y7FocfzyzkGLSHQdJVHhq,252594,4
7ksK7gpPDFdY4JLHr1hKfY,0.58,0.898,3,-1.928,0,0.0349,0.0857,0.000254,0.478,0.213,150.018,audio_features,spotify:track:7ksK7gpPDFdY4JLHr1hKfY,https://api.spotify.com/v1/tracks/7ksK7gpPDFdY4JLHr1hKfY,https://api.spotify.com/v1/audio-analysis/7ksK7gpPDFdY4JLHr1hKfY,188900,4
5bM3IhiYoYSK9VjAux2px8,0.719,0.551,7,-11.841,1,0.0914,0.0279,0,0.536,0.614,96.159,audio_features,spotify:track:5bM3IhiYoYSK9VjAux2px8,https://api.spotify.com/v1/tracks/5bM3IhiYoYSK9VjAux2px8,https://api.spotify.com/v1/audio-analysis/5bM3IhiYoYSK9VjAux2px8,265640,4
7kjg2NCn3Zx70m1DFHSSGO,0.558,0.677,11,-12.38,0,0.207,0.535,0,0.101,0.96,180.685,audio_features,spotify:track:7kjg2NCn3Zx70m1DFHSSGO,https://api.spotify.com/v1/tracks/7kjg2NCn3Zx70m1DFHSSGO,https://api.spotify.com/v1/audio-analysis/7kjg2NCn3Zx70m1DFHSSGO,185879,4
5G5qyRHlLmZgy915TBTCkB,0.747,0.554,8,-6.154,0,0.289,0.493,0.000425,0.332,0.585,96.988,audio_features,spotify:track:5G5qyRHlLmZgy915TBTCkB,https://api.spotify.com/v1/tracks/5G5qyRHlLmZgy915TBTCkB,https://api.spotify.com/v1/audio-analysis/5G5qyRHlLmZgy915TBTCkB,164318,4
4ja2gzrNh9VNigzoXfmbwD,0.676,0.525,9,-5.88,1,0.028,0.617,0,0.356,0.421,112.011,audio_features,spotify:track:4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/tracks/4ja2gzrNh9VNigzoXfmbwD,https://api.spotify.com/v1/audio-analysis/4ja2gzrNh9VNigzoXfmbwD,210000,4
62Pp6exz0ywSlBqvNqiY6Z,0.873,0.505,9,-8.554,1,0.0646,0.693,0.0017,0.108,0.582,100.037,audio_features,spotify:track:62Pp6exz0ywSlBqvNqiY6Z,https://api.spotify.com/v1/tracks/62Pp6exz0ywSlBqvNqiY6Z,https://api.spotify.com/v1/audio-analysis/62Pp6exz0ywSlBqvNqiY6Z,175753,4
2iRniYXjMHKmwXqA2jYXP7,0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,audio_features,spotify:track:2iRniYXjMHKmwXqA2jYXP7,https://api.spotify.com/v1/tracks/2iRniYXjMHKmwXqA2jYXP7,https://api.spotify.com/v1/audio-analysis/2iRniYXjMHKmwXqA2jYXP7,173386,4
3dPtXHP0oXQ4HCWHsOA9js,0.67,0.874,8,-5.221,1,0.0305,0.00231,0.0000172,0.3,0.789,130.041,audio_features,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,261013,4
3BJiF37kmX4HCfYSO7qBnQ,0.736,0.62,0,-8.481,0,0.11,0.0577,0.692,0.318,0.959,150.026,audio_features,spotify:track:3BJiF37kmX4HCfYSO7qBnQ,https://api.spotify.com/v1/tracks/3BJiF37kmX4HCfYSO7qBnQ,https://api.spotify.com/v1/audio-analysis/3BJiF37kmX4HCfYSO7qBnQ,201990,4
6ezWbOb22Pih3yFT0DTyUD,0.356,0.462,1,-8.317,0,0.0337,0.307,0.0000349,0.217,0.189,73.889,audio_features,spotify:track:6ezWbOb22Pih3yFT0DTyUD,https://api.spotify.com/v1/tracks/6ezWbOb22Pih3yFT0DTyUD,https://api.spotify.com/v1/audio-analysis/6ezWbOb22Pih3yFT0DTyUD,235185,4
01TdkJ0lorIzBsdks8X1Tb,0.659,0.537,11,-9.644,1,0.0343,0.675,0.0000392,0.3,0.398,127.962,audio_features,spotify:track:01TdkJ0lorIzBsdks8X1Tb,https://api.spotify.com/v1/tracks/01TdkJ0lorIzBsdks8X1Tb,https://api.spotify.com/v1/audio-analysis/01TdkJ0lorIzBsdks8X1Tb,300001,4
